state,year,Incident,Population,Murder rate,Unemployment rate,ammpermit,Median Household income,Crime rate
Massachusetts,2017,Not Found,6863560,#VALUE!,Not Found,1,73227,358
Michigan,2017,Not Found,9976752,#VALUE!,Not Found,0,57700,450
Minnesota,2017,Not Found,5569283,#VALUE!,Not Found,0,71920,238
Mississippi,2017,Not Found,2990674,#VALUE!,Not Found,0,43441,286
Missouri,2017,Not Found,6111382,#VALUE!,Not Found,0,56885,530
Montana,2017,Not Found,1053862,#VALUE!,Not Found,0,59087,377
Nebraska,2017,Not Found,1916998,#VALUE!,Not Found,0,59619,306
Nevada,2017,Not Found,2972097,#VALUE!,Not Found,0,56550,556
New Hampshire,2017,Not Found,1350395,#VALUE!,Not Found,0,74801,199
New Jersey,2017,Not Found,8888147,#VALUE!,Not Found,0,72997,229
New Mexico,2017,Not Found,2092844,#VALUE!,Not Found,0,47855,784
New York,2017,Not Found,19593849,#VALUE!,Not Found,0,62447,357
North Carolina,2017,Not Found,10275758,#VALUE!,Not Found,0,50343,364
North Dakota,2017,Not Found,756755,#VALUE!,Not Found,0,59886,281
Ohio,2017,Not Found,11665706,#VALUE!,Not Found,0,59768,298
Oklahoma,2017,Not Found,3933602,#VALUE!,Not Found,0,55006,456
Oregon,2017,Not Found,4147294,#VALUE!,Not Found,0,64610,282
Pennsylvania,2017,Not Found,12794679,#VALUE!,Not Found,0,63173,313
Rhode Island,2017,Not Found,1056554,#VALUE!,Not Found,0,66390,232
South Carolina,2017,Not Found,5027102,#VALUE!,Not Found,0,54971,506
South Dakota,2017,Not Found,873732,#VALUE!,Not Found,0,56894,434
Tennessee,2017,Not Found,6714748,#VALUE!,Not Found,0,55240,652
Texas,2017,Not Found,28291024,#VALUE!,Not Found,0,59295,439
Utah,2017,Not Found,3103540,#VALUE!,Not Found,0,71319,239
Vermont,2017,Not Found,625132,#VALUE!,Not Found,0,63805,166
Virginia,2017,Not Found,8471011,#VALUE!,Not Found,0,71293,208
Washington,2017,Not Found,7427951,#VALUE!,Not Found,0,75418,305
West Virginia,2017,Not Found,1818683,#VALUE!,Not Found,0,45392,351
Wisconsin,2017,Not Found,5793147,#VALUE!,Not Found,0,63451,320
Wyoming,2017,Not Found,579994,#VALUE!,Not Found,0,57837,238
